Fauna/Flora;Grupo;Família;Espécie (Simplificado);Nome Comum;Categoria de Ameaça;Sigla Categoria de Ameaça;Bioma;Principais Ameaças;Presença em Áreas Protegidas;Plano de Ação Nacional para Conservação (PAN);Ordenamento Pesqueiro ;Nível de Proteção na Estratégia Nacional;Espécie exclusiva do Brasil;Estados de Ocorrência
Fauna;Aves;Cracidae;Aburria jacutinga;Jacutinga;Em Perigo (EN);EN;"Cerrado; Mata Atlântica";"Agropecuária; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Extracao Florestal";Sim;Não;Não;4;Não;"BA; ES; MG; PR; RJ; RS; SC; SP"
Fauna;Invertebrados Terrestres;Coenagrionidae;Aceratobasis cornicauda;Libélula;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades; Poluição";Sim;Não;Não;2;Sim;"BA; ES"
Fauna;Invertebrados Terrestres;Coenagrionidae;Aceratobasis mourei;Libélula;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades";Sim;Não;Não;2;Sim;ES
Fauna;Invertebrados Terrestres;Hypogastruridae;Acherontides eleonorae;Colêmbolo;Em Perigo (EN);EN;Mata Atlântica;"Mudanca Na Dinamica Das Especies Nativas; Outras Atividades Econômicas:Turismo";Sim;Não;Não;3;Sim;"PR; SP"
Fauna;Peixes Marinhos;Achiridae;Achirus mucuri;Solha;Vulnerável (VU);VU;Mata Atlântica;"Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Energia; Poluição Assoreamento";Sim;Não;Não;1;Sim;BA
Fauna;Aves;Furnariidae;Acrobatornis fonsecai;Acrobata;Vulnerável (VU);VU;Mata Atlântica;Agropecuária;Sim;Não;Não;2;Sim;"BA; MG"
Fauna;Invertebrados Terrestres;Nymphalidae;Actinote quadra;Borboleta-palha;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades";Sim;Sim;Não;3;Sim;RJ
Fauna;Invertebrados Terrestres;Nymphalidae;Actinote zikani;Borboleta;Criticamente em Perigo (CR);CR;Mata Atlântica;Poluição;Sim;Sim;Não;2;Sim;SP
Fauna;Invertebrados Terrestres;Baetidae;Adebrotus lugoi;Siriruia;Vulnerável (VU);VU;Mata Atlântica;Agropecuária;Sim;Não;Não;2;Sim;ES
Fauna;Anfíbios;Eleutherodactylidae;Adelophryne maranguapensis;Desconhecido;Vulnerável (VU);VU;Caatinga;"Agropecuária; Assentamento Humano:cidades";Não;Sim;Não;2;Sim;CE
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla brevipalma;Egla;Criticamente em Perigo (CR);CR;Mata Atlântica;"Agropecuária; Poluição";Não;Sim;Não;1;Sim;SC
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla camargoi;Egla;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Energia";Não;Sim;Não;1;Sim;"RS; SC"
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla cavernicola;Egla;Criticamente em Perigo (CR);CR;Mata Atlântica;"Assentamento Humano:cidades; Poluição";Sim;Não;Não;2;Sim;SP
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla franca;Egla;Criticamente em Perigo (CR);CR;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Industrias; Outras Atividades Econômicas:Transporte";Não;Sim;Não;1;Sim;"MG; SP"
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla grisella;Egla;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Transporte; Poluição";Não;Sim;Não;1;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla inconspicua;Egla;Vulnerável (VU);VU;"Mata Atlântica; Pampa";"Agropecuária; Outras Atividades Econômicas:Energia";Sim;Sim;Não;1;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla inermis;Egla;Em Perigo (EN);EN;"Mata Atlântica; Pampa";"Agropecuária; Outras Atividades Econômicas:Transporte; Poluição";Sim;Sim;Não;2;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla itacolomiensis;Egla;Em Perigo (EN);EN;"Mata Atlântica; Pampa";"Agropecuária; Poluição";Não;Sim;Não;1;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla lata;Egla;Criticamente em Perigo (CR);CR;Mata Atlântica;"Agropecuária; Poluição; Queimadas";Não;Sim;Não;1;Sim;PR
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla leachi;Egla;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Poluição";Não;Sim;Não;1;Sim;SC
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla leptochela;Egla;Criticamente em Perigo (CR);CR;Mata Atlântica;"Especies Exoticas; Mineracao; Outras Atividades Econômicas:Turismo";Não;Não;Não;1;Sim;SP
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla leptodactyla;Egla;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Energia";Sim;Sim;Não;1;Sim;"RS; SC"
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla ligulata;Egla;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Poluição";Sim;Sim;Não;2;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla manuinflata;Egla;Em Perigo (EN);EN;"Mata Atlântica; Pampa";"Agropecuária; Poluição";Não;Sim;Não;1;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla microphthalma;Egla;Criticamente em Perigo (CR);CR;Mata Atlântica;"Especies Exoticas; Mineracao";Sim;Não;Não;2;Sim;SP
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla oblata;Egla;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Energia; Poluição";Não;Sim;Não;1;Sim;SC
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla obstipa;Egla;Em Perigo (EN);EN;Pampa;"Agropecuária; Poluição; Poluição Assoreamento";Não;Não;Não;0;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla perobae;Egla;Criticamente em Perigo (CR);CR;Mata Atlântica;Poluição;Sim;Sim;Não;2;Sim;SP
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla plana;Egla;Em Perigo (EN);EN;"Mata Atlântica; Pampa";"Agropecuária; Outras Atividades Econômicas:Energia";Sim;Sim;Não;1;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla pomerana;Egla;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Turismo";Não;Sim;Não;1;Sim;SC
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla renana;Egla;Criticamente em Perigo (CR);CR;Pampa;Poluição;Sim;Sim;Não;1;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla rossiana;Egla;Em Perigo (EN);EN;"Mata Atlântica; Pampa";"Agropecuária; Assentamento Humano:cidades";Sim;Sim;Não;1;Sim;"RS; SC"
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla spinipalma;Egla;Vulnerável (VU);VU;"Mata Atlântica; Pampa";"Agropecuária; Poluição";Não;Sim;Não;1;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla spinosa;Egla;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Energia";Não;Sim;Não;1;Sim;"RS; SC"
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla strinatii;Egla;Em Perigo (EN);EN;Mata Atlântica;Assentamento Humano:rurais;Sim;Sim;Não;1;Sim;"PR; SP"
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla violacea;Egla;Em Perigo (EN);EN;Pampa;"Agropecuária; Especies Exoticas; Poluição";Sim;Sim;Não;1;Sim;RS
Fauna;Anfíbios;Hylidae;Agalychnis granulosa;Desconhecido;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades";Sim;Sim;Não;4;Sim;"AL; PE"
Fauna;Peixes Continentais;Pimelodidae;Aguarunichthys tocantinsensis;Bagre;Em Perigo (EN);EN;"Amazônia; Cerrado";Outras Atividades Econômicas:Energia;Sim;Sim;Não;2;Sim;"MT; PA; TO"
Fauna;Mamíferos;Cricetidae;Akodon mystax;Rato-do-chão;Vulnerável (VU);VU;Mata Atlântica;"Mudanca Na Dinamica Das Especies Nativas: Patogenias/Parasitas; Queimadas";Sim;Não;Não;1;Sim;ES
Fauna;Aves;Tyrannidae;Alectrurus tricolor;Galito;Vulnerável (VU);VU;"Cerrado; Mata Atlântica; Pantanal";"Agropecuária; Mineracao; Queimadas";Sim;Sim;Não;4;Não;"BA; DF; GO; MG; MS; MT; PR; SP; TO"
Fauna;Invertebrados Terrestres;Sphingidae;Aleuron prominens;Mariposa;Vulnerável (VU);VU;Mata Atlântica;Agropecuária;Sim;Não;Não;2;Sim;"PR; RJ; SP"
Fauna;Invertebrados Terrestres;Sphingidae;Aleuron ypanemae;Mariposa;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades; Extracao Florestal; Poluição";Sim;Não;Não;2;Sim;SP
Fauna;Anfíbios;Aromobatidae;Allobates brunneus;Desconhecido;Criticamente em Perigo (CR);CR;Cerrado;"Agropecuária; Outras Atividades Econômicas:Energia";Não;Sim;Não;1;Sim;MT
Fauna;Anfíbios;Aromobatidae;Allobates goianus;Desconhecido;Em Perigo (EN);EN;Cerrado;"Agropecuária; Mineracao; Outras Atividades Econômicas:Energia";Sim;Sim;Não;3;Sim;"DF; GO"
Fauna;Anfíbios;Aromobatidae;Allobates olfersioides;Desconhecido;Vulnerável (VU);VU;Mata Atlântica;Assentamento Humano:cidades;Sim;Sim;Não;3;Sim;RJ
Fauna;Peixes Marinhos;Alopiidae;Alopias superciliosus;Tubarão-raposa;Vulnerável (VU);VU;Marinho;Extracao Direta:Caça/Pesca;Sim;Sim;Sim;4;Não;"AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP"
Fauna;Peixes Marinhos;Alopiidae;Alopias vulpinus;Tubarão-raposa;Vulnerável (VU);VU;Marinho;Extracao Direta:Caça/Pesca;Sim;Sim;Sim;4;Não;"AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP"
Fauna;Mamíferos;Atelidae;Alouatta belzebul;Guariba-de-mãos-ruivas;Vulnerável (VU);VU;"Amazônia; Mata Atlântica";"Agropecuária; Assentamento Humano:cidades; Assentamento Humano:rurais; Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Energia";Sim;Sim;Não;5;Sim;"AP; MA; PA; TO"
Fauna;Mamíferos;Atelidae;Alouatta discolor;Guariba-de-mãos-ruivas;Vulnerável (VU);VU;Amazônia;"Agropecuária; Assentamento Humano:rurais; Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Energia; Outras Atividades Econômicas:Transporte";Sim;Sim;Não;4;Sim;" MT; PA"
Fauna;Mamíferos;Atelidae;Alouatta guariba clamitans;Bugio-ruivo;Vulnerável (VU);VU;"Cerrado; Mata Atlântica; Pampa;";"Agropecuária; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Mudanca Na Dinamica Das Especies Nativas: Patogenias/Parasitas";Sim;Sim;Não;3;Sim;"ES; MG; PR; RJ; RS; SC; SP"
Fauna;Mamíferos;Atelidae;Alouatta guariba guariba;Bugio-marrom;Criticamente em Perigo (CR);CR;Mata Atlântica;"Agropecuária; Assentamento Humano:rurais; Extracao Direta:Caça/Pesca";Sim;Sim;Não;3;Sim;"BA; ES; MG"
Fauna;Mamíferos;Atelidae;Alouatta ululata;Guariba;Em Perigo (EN);EN;"Caatinga; Cerrado";"Agropecuária; Assentamento Humano:rurais; Extracao Direta:Caça/Pesca; Extracao Florestal; Outras Atividades Econômicas:Energia";Sim;Sim;Não;3;Sim;"CE; MA; PI"
Fauna;Invertebrados Terrestres;Lucanidae;Altitatiayus campoi;Besouro-tesoura;Vulnerável (VU);VU;Mata Atlântica;Outras Atividades Econômicas:Turismo;Sim;Não;Não;3;Sim;SP
Fauna;Invertebrados Terrestres;Lucanidae;Altitatiayus dulceae;Besouro-tesoura;Vulnerável (VU);VU;Mata Atlântica;Outras Atividades Econômicas:Turismo;Sim;Não;Não;3;Sim;"MG; RJ"
Fauna;Invertebrados Terrestres;Lucanidae;Altitatiayus godinhorum;Besouro-tesoura;Vulnerável (VU);VU;Mata Atlântica;Outras Atividades Econômicas:Turismo;Sim;Não;Não;3;Sim;"MG; RJ"
Fauna;Invertebrados Terrestres;Lucanidae;Altitatiayus koikei;Besouro-tesoura;Vulnerável (VU);VU;Mata Atlântica;Outras Atividades Econômicas:Turismo;Sim;Não;Não;3;Sim;MG
Fauna;Invertebrados Terrestres;Lucanidae;Altitatiayus rotundatus;Besouro-tesoura;Vulnerável (VU);VU;Mata Atlântica;Outras Atividades Econômicas:Turismo;Sim;Não;Não;3;Sim;"MG; RJ"
Fauna;Invertebrados Terrestres;Lucanidae;Altitatiayus ruficollis;Besouro-tesoura;Vulnerável (VU);VU;Mata Atlântica;Outras Atividades Econômicas:Turismo;Sim;Não;Não;3;Sim;"MG; RJ"
Fauna;Invertebrados Terrestres;Lucanidae;Altitatiayus trifurcatus;Besouro-tesoura;Vulnerável (VU);VU;Mata Atlântica;Outras Atividades Econômicas:Turismo;Sim;Não;Não;3;Sim;"MG; RJ"
Fauna;Aves;Accipitridae;Amadonastur lacernulatus;Gavião-pombo-pequeno ;Vulnerável (VU);VU;"Caatinga; Cerrado; Mata Atlântica";"Agropecuária; Assentamento Humano:cidades";Sim;Não;Não;4;Sim;"BA; ES; MG; PR; RJ; SC; SP"
Fauna;Aves;Psittacidae;Amazona pretrei;Papagaio-charão;Vulnerável (VU);VU;"Mata Atlântica; Pampa";"Agropecuária; Extracao Direta:Caça/Pesca; Extracao Florestal; Mudanca Na Dinamica Das Especies Nativas";Sim;Não;Não;3;Não;"RS; SC"
Fauna;Aves;Psittacidae;Amazona rhodocorytha;Chauá;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Extracao Florestal";Sim;Não;Não;4;Sim;"AL; BA; ES; MG; RJ; SE"
Fauna;Aves;Psittacidae;Amazona vinacea;Papagaio-de-peito-roxo;Vulnerável (VU);VU;"Caatinga; Cerrado; Mata Atlântica";"Agropecuária; Extracao Direta:Caça/Pesca; Extracao Florestal; Outras Atividades Econômicas:Turismo";Sim;Não;Não;3;Não;"BA; ES; MG;  PR; RJ; RS; SC; SP"
Fauna;Répteis;Teiidae;Ameiva parecis;Calango;Em Perigo (EN);EN;"Amazônia; Cerrado";"Agropecuária; Outras Atividades Econômicas:Energia; Outras Atividades Econômicas:Transporte";Sim;Sim;Não;2;Sim;"MT; RO"
Fauna;Répteis;Teiidae;Ameivula abaetensis;Lagartinho-de-abaeté;Em Perigo (EN);EN;Mata Atlântica;"Assentamento Humano:cidades; Outras Atividades Econômicas:Transporte; Outras Atividades Econômicas:Turismo; Queimadas";Sim;Sim;Não;2;Sim; SE
Fauna;Répteis;Teiidae;Ameivula littoralis;Lagarto-da-cauda-verde;Em Perigo (EN);EN;Mata Atlântica;"Assentamento Humano:cidades; Mineracao; Outras Atividades Econômicas:Energia; Outras Atividades Econômicas:Transporte; Outras Atividades Econômicas:Turismo";Sim;Sim;Não;2;Sim;RJ
Fauna;Répteis;Teiidae;Ameivula nativo;Lagartinho-de-linhares;Em Perigo (EN);EN;Mata Atlântica;"Assentamento Humano:cidades; Mudanca Na Dinamica Das Especies Nativas";Sim;Sim;Não;2;Sim;"BA; ES"
Fauna;Répteis;Typhlopidae;Amerotyphlops amoipira;Cobra-cega-das-dunas;Em Perigo (EN);EN;"Caatinga; Cerrado";"Agropecuária; Outras Atividades Econômicas:Energia";Sim;Sim;Não;4;Sim;"BA; MG"
Fauna;Répteis;Typhlopidae;Amerotyphlops paucisquamus;Desconhecido;Vulnerável (VU);VU;Mata Atlântica;"Outras Atividades Econômicas:Energia; Outras Atividades Econômicas:Transporte";Sim;Sim;Não;2;Sim;"AL; MA; PB; PE; RN"
Fauna;Répteis;Typhlopidae;Amerotyphlops yonenagae;Cobra-cega-do-são-francisco;Em Perigo (EN);EN;Caatinga;"Agropecuária; Mineracao";Não;Sim;Não;2;Sim;BA
Fauna;Répteis;Amphisbanidae;Amphisbaena arda;Cobra-de-duas-cabeças;Em Perigo (EN);EN;"Caatinga; Cerrado";"Agropecuária; Extracao Florestal; Outras Atividades Econômicas:Energia; Outras Atividades Econômicas:Turismo";Sim;Sim;Não;4;Sim;BA
Fauna;Répteis;Amphisbanidae;Amphisbaena frontalis;Cobra-de-duas-cabeças;Em Perigo (EN);EN;"Caatinga; Cerrado";"Agropecuária; Assentamento Humano:cidades; Extracao Florestal; Mineracao; Outras Atividades Econômicas:Energia; Outras Atividades Econômicas:Turismo";Sim;Sim;Não;4;Sim;BA
Fauna;Répteis;Amphisbanidae;Amphisbaena nigricauda;Cobra-de-duas-cabeças;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades; Mineracao; Mudanca Na Dinamica Das Especies Nativas; Outras Atividades Econômicas:Transporte; Outras Atividades Econômicas:Turismo";Sim;Sim;Não;2;Sim;"BA; ES"
Fauna;Répteis;Amphisbanidae;Amphisbaena supernumeraria;Cobra-de-duas-cabeças;Em Perigo (EN);EN;Caatinga;"Agropecuária; Assentamento Humano:cidades; Mudanca Na Dinamica Das Especies Nativas";Sim;Não;Não;1;Sim;PE
Fauna;Répteis;Amphisbanidae;Amphisbaena uroxena;Cobra-de-duas-cabeças;Em Perigo (EN);EN;"Caatinga; Cerrado";"Agropecuária; Poluição";Não;Sim;Não;2;Sim;BA
Fauna;Invertebrados Terrestres;Lampyridae;Amydetes bellorum;Vagalume;Em Perigo (EN);EN;Mata Atlântica;Assentamento Humano:cidades;Sim;Não;Não;1;Sim;RJ
Fauna;Peixes Continentais;Rivulidae;Anablepsoides cearensis;Peixe-anual;Criticamente em Perigo (CR);CR;Caatinga;"Agropecuária; Assentamento Humano:cidades";Não;Não;Não;1;Sim;CE
Fauna;Invertebrados Terrestres;Buthidae;Ananteris infuscata;Escorpião;Em Perigo (EN);EN;"Cerrado; Mata Atlântica";"Especies Exoticas; Mineracao";Não;Não;Não;0;Sim;MG
Fauna;Peixes Continentais;Loricariidae;Ancistrus cryptophthalmus;Cascudinho-de-caverna;Em Perigo (EN);EN;Cerrado;"Agropecuária; Outras Atividades Econômicas:Turismo";Sim;Não;Não;2;Sim;GO
Fauna;Peixes Continentais;Loricariidae;Ancistrus formoso;Cascudo-cego;Vulnerável (VU);VU;Cerrado;Mineracao;Não;Não;Não;1;Sim;MS
Fauna;Peixes Continentais;Loricariidae;Ancistrus minutus;Desconhecido;Em Perigo (EN);EN;Cerrado;"Agropecuária; Assentamento Humano:cidades; Mineracao; Outras Atividades Econômicas:Energia";Não;Sim;Sim;1;Sim;GO
Fauna;Invertebrados Terrestres;Formicidae;Anochetus oriens;Formiga;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades; Poluição";Sim;Não;Não;1;Sim;"BA; ES"
Fauna;Aves;Psittacidae;Anodorhynchus leari;Arara-azul-de-lear;Em Perigo (EN);EN;Caatinga;"Agropecuária; Extracao Direta:Caça/Pesca; Mineracao; Queimadas";Sim;Não;Não;3;Sim;BA
Fauna;Aves;Motacillidae;Anthus nattereri;Caminheiro-grande;Vulnerável (VU);VU;"Cerrado; Mata Atlântica; Pampa;";"Agropecuária; Queimadas";Sim;Sim;Não;4;Não;"ES; MG; PR; RJ; RS; SC; SP"
Fauna;Aves;Pipridae;Antilophia bokermanni;Soldadinho-do-araripe;Criticamente em Perigo (CR);CR;Caatinga;"Agropecuária; Assentamento Humano:cidades; Outras Atividades Econômicas: Barrages Abastecimento/Drenagem; Queimadas";Sim;Sim;Não;2;Sim;CE
Fauna;Anfíbios;Hylidae;Aparasphenodon pomba;Perereca;Criticamente em Perigo (CR);CR;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades; Outras Atividades Econômicas:Industrias; Poluição";Não;Sim;Não;2;Sim;MG
Fauna;Peixes Continentais;Parodontidae;Apareiodon davisi;Peixe-rei;Em Perigo (EN);EN;Caatinga;Agropecuária;Não;Sim;Não;1;Sim;"CE; PB"
Fauna;Peixes Continentais;Parodontidae;Apareiodon vladii;Canivete;Vulnerável (VU);VU;Mata Atlântica;Outras Atividades Econômicas:Energia;Não;Sim;Não;1;Sim;"PR; SP"
Fauna;Peixes Continentais;Characidae;Aphyocheirodon hemigrammus;Lambari;Vulnerável (VU);VU;"Cerrado; Mata Atlântica";Poluição;Sim;Sim;Não;2;Sim;"MS; PR; SP"
Fauna;Répteis;Dipsadidae;Apostolepis arenaria;Cobra-rainha-do-são-francisco;Em Perigo (EN);EN;Caatinga;"Agropecuária; Extracao Florestal; Mineracao; Outras Atividades Econômicas: Barrages Abastecimento/Drenagem; Outras Atividades Econômicas:Energia";Sim;Sim;Não;2;Sim;BA
Fauna;Répteis;Dipsadidae;Apostolepis gaboi;Cobra-rainha-das-dunas;Em Perigo (EN);EN;"Caatinga; Cerrado";Outras Atividades Econômicas:Energia;Sim;Sim;Não;3;Sim;BA
Fauna;Répteis;Dipsadidae;Apostolepis quirogai;Desconhecido;Em Perigo (EN);EN;"Mata Atlântica; Pampa";Agropecuária;Não;Sim;Não;2;Não;RS
Fauna;Répteis;Dipsadidae;Apostolepis serrana;Cobra-rainha-da-serra-do-roncador;Em Perigo (EN);EN;"Amazônia; Cerrado";Agropecuária;Não;Sim;Não;1;Sim;MT
Fauna;Répteis;Dipsadidae;Apostolepis striata;Cobra-rainha-estriada;Em Perigo (EN);EN;"Amazônia; Cerrado";Agropecuária;Não;Sim;Não;1;Sim;"MT; RO"
Fauna;Peixes Continentais;Apteronotidae;Apteronotus acidops;Sarapó;Em Perigo (EN);EN;Mata Atlântica;"Assentamento Humano:cidades; Outras Atividades Econômicas:Transporte; Poluição";Não;Sim;Não;1;Sim;"MS; SP"
Fauna;Peixes Continentais;Apteronotidae;Apteronotus lindalvae;Desconhecido;Criticamente em Perigo (CR);CR;Amazônia;Outras Atividades Econômicas:Energia;Sim;Sim;Não;2;Sim;AM
Fauna;Aves;Psittacidae;Aratinga solstitialis;Jandaia-amarela;Em Perigo (EN);EN;Amazônia;"Agropecuária; Extracao Direta:Caça/Pesca";Sim;Sim;Não;5;Não;RR
Fauna;Invertebrados Terrestres;Lycaenidae;Arawacus aethesa;Borboleta;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades";Não;Sim;Não;1;Sim;"BA; ES; MG"
Fauna;Invertebrados Terrestres;Andrenidae;Arhysosage cactorum;Abelha;Vulnerável (VU);VU;Pampa;"Agropecuária; Especies Exoticas";Não;Não;Não;0;Sim;RS
Fauna;Aves;Passerelidae;Arremonops conirostris;Tico-tico-cantor;Vulnerável (VU);VU;Amazônia;Outras Atividades Econômicas:Energia;Sim;Sim;Não;2;Não;RR
Fauna;Invertebrados Terrestres;Arrhopalitidae;Arrhopalites alambariensis;Colêmbolo;Criticamente em Perigo (CR);CR;Mata Atlântica;"Outras Atividades Econômicas:Turismo; Poluição; Queimadas";Sim;Não;Não;3;Sim;SP
Fauna;Invertebrados Terrestres;Arrhopalitidae;Arrhopalites amorimi;Colêmbolo;Criticamente em Perigo (CR);CR;Mata Atlântica;"Outras Atividades Econômicas:Turismo; Poluição; Queimadas";Sim;Não;Não;2;Sim;SP
Fauna;Invertebrados Terrestres;Arrhopalitidae;Arrhopalites botuveraensis;Colêmbolo;Criticamente em Perigo (CR);CR;Mata Atlântica;"Outras Atividades Econômicas:Turismo; Poluição; Queimadas";Sim;Não;Não;2;Sim;SC
Fauna;Invertebrados Terrestres;Arrhopalitidae;Arrhopalites gnaspinii;Colêmbolo;Criticamente em Perigo (CR);CR;Mata Atlântica;"Outras Atividades Econômicas:Turismo; Poluição; Queimadas";Sim;Não;Não;2;Sim;SP
Fauna;Invertebrados Terrestres;Arrhopalitidae;Arrhopalites heteroculatus;Colêmbolo;Criticamente em Perigo (CR);CR;Mata Atlântica;"Outras Atividades Econômicas:Turismo; Poluição; Queimadas";Sim;Não;Não;2;Sim;SP
Fauna;Invertebrados Terrestres;Arrhopalitidae;Arrhopalites lawrencei;Colêmbolo;Criticamente em Perigo (CR);CR;Mata Atlântica;"Outras Atividades Econômicas:Turismo; Poluição; Queimadas";Sim;Não;Não;2;Sim;SP
Fauna;Invertebrados Terrestres;Arrhopalitidae;Arrhopalites paranaensis;Colêmbolo;Criticamente em Perigo (CR);CR;Mata Atlântica;"Outras Atividades Econômicas:Turismo; Poluição; Queimadas";Não;Não;Não;1;Sim;PR
Fauna;Aves;Furnariidae;Asthenes hudsoni;João-platino;Vulnerável (VU);VU;Pampa;"Agropecuária; Outras Atividades Econômicas:Energia; Poluição";Sim;Sim;Não;3;Não;RS
Fauna;Invertebrados Aquáticos;Astropectinidae;Astropecten articulatus;Estrela-do-mar;Vulnerável (VU);VU;Marinho;"Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Turismo; Poluição";Sim;Não;Não;2;Não;"RJ; SP"
Fauna;Invertebrados Aquáticos;Astropectinidae;Astropecten brasiliensis;Estrela-do-mar;Vulnerável (VU);VU;Marinho;"Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Turismo; Poluição";Sim;Não;Não;2;Não;"BA; RJ; SP"
Fauna;Invertebrados Aquáticos;Astropectinidae;Astropecten marginatus;Estrela-do-mar;Vulnerável (VU);VU;Marinho;"Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Turismo; Poluição";Sim;Não;Não;2;Não;"AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP"
Fauna;Peixes Continentais;Characidae;Astyanax eremus;Lambari, Piaba;Criticamente em Perigo (CR);CR;Mata Atlântica;Agropecuária;Sim;Sim;Não;2;Sim;PR
Fauna;Peixes Continentais;Characidae;Astyanax gymnogenys;Lambari ;Em Perigo (EN);EN;Mata Atlântica;"Especies Exoticas; Outras Atividades Econômicas:Energia; Poluição";Não;Sim;Não;1;Sim;"PR; SC"
Fauna;Peixes Continentais;Characidae;Astyanax jordanensis;Lambari ;Vulnerável (VU);VU;Mata Atlântica;Outras Atividades Econômicas:Energia;Não;Sim;Não;1;Sim;PR
Fauna;Mamíferos;Atelidae;Ateles belzebuth;Macaco-aranha;Vulnerável (VU);VU;Amazônia;"Assentamento Humano:cidades; Assentamento Humano:rurais; Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Energia";Sim;Sim;Não;4;Não;"AM; RR"
Fauna;Mamíferos;Atelidae;Ateles chamek;Macaco-aranha-de-cara-preta;Vulnerável (VU);VU;Amazônia;"Agropecuária; Assentamento Humano:rurais; Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Energia; Outras Atividades Econômicas:Transporte";Sim;Sim;Não;4;Não;"AC; AM; MT; PA; RO"
Fauna;Mamíferos;Atelidae;Ateles marginatus;Coatá-da-testa-branca;Em Perigo (EN);EN;Amazônia;"Agropecuária; Assentamento Humano:cidades; Assentamento Humano:rurais; Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Energia; Outras Atividades Econômicas:Transporte";Sim;Sim;Não;4;Sim;"MT; PA"
