Fauna/Flora;Grupo;Família;Espécie (Simplificado);Nome Comum;Categoria de Ameaça;Sigla Categoria de Ameaça;Bioma;Principais Ameaças;Presença em Áreas Protegidas;Plano de Ação Nacional para Conservação (PAN);Ordenamento Pesqueiro ;Nível de Proteção na Estratégia Nacional;Espécie exclusiva do Brasil;Estados de Ocorrência
Fauna;Peixes Continentais;Loricariidae;Neoplecostomus selenae;Cascudo;Em Perigo (EN);EN;Mata Atlântica;"Mineracao; Poluição";Não;Sim;Não;1;Sim;SP
Fauna;Invertebrados Terrestres;Riodinidae;Nirodia belphegor;Fadinha;Criticamente em Perigo (CR);CR;"Cerrado; Mata Atlântica";"Assentamento Humano:cidades; Outras Atividades Econômicas:Transporte; Queimadas";Sim;Sim;Não;3;Sim;MG
Fauna;Peixes Continentais;Rivulidae;Notholebias cruzi;Peixe-anual;Criticamente em Perigo (CR);CR;Mata Atlântica;Assentamento Humano:cidades;Sim;Sim;Não;2;Sim;RJ
Fauna;Peixes Continentais;Rivulidae;Notholebias fractifasciatus;Peixe-anual;Criticamente em Perigo (CR);CR;Mata Atlântica;Assentamento Humano:cidades;Não;Sim;Não;1;Sim;RJ
Fauna;Peixes Continentais;Rivulidae;Notholebias minimus;Peixe-anual;Criticamente em Perigo (CR);CR;Mata Atlântica;Assentamento Humano:cidades;Não;Sim;Não;1;Sim;RJ
Fauna;Peixes Continentais;Rivulidae;Notholebias vermiculatus;Desconhecido;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Transporte";Não;Não;Não;1;Sim;RJ
Fauna;Aves;Tinamidae;Nothura minor;Codorna-mineira;Em Perigo (EN);EN;"Cerrado; Mata Atlântica";"Agropecuária; Queimadas";Sim;Sim;Não;4;Não;"DF; GO; MG; MS; MT; SP"
Fauna;Peixes Marinhos;Hexanchidae;Notorynchus cepedianus;Cação-bruxa;Criticamente em Perigo (CR);CR;Marinho;Extracao Direta:Caça/Pesca;Sim;Sim;Não;2;Não;" PR; RJ; RS; SC; SP"
Fauna;Invertebrados Terrestres;Sphingidae;Nyceryx mielkei;Mariposa;Criticamente em Perigo (CR);CR;Cerrado;"Agropecuária; Poluição";Não;Não;Não;0;Sim;MA
Fauna;Aves;Nyctibiidae;Nyctibius aethereus aethereus;Mãe-da-lua-parda;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades";Sim;Não;Não;3;Não;"AC; AM; BA; ES; MG; MT; PA; PR; RJ; SP"
Fauna;Aves;Nyctibiidae;Nyctibius leucopterus;Urutau-de-asa-branca;Criticamente em Perigo (CR);CR;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades";Sim;Não;Não;2;Sim;"BA; ES"
Fauna;Invertebrados Terrestres;Ochyroceratidae;Ochyrocera ibitipoca;Desconhecido;Em Perigo (EN);EN;"Cerrado; Mata Atlântica";"Outras Atividades Econômicas:Turismo; Queimadas";Não;Não;Não;0;Sim;MG
Fauna;Peixes Continentais;Atherinopsidae;Odontesthes bicudo;Peixe-rei;Em Perigo (EN);EN;"Mata Atlântica; Pampa";Outras Atividades Econômicas: Barrages Abastecimento/Drenagem;Não;Não;Não;1;Sim;RS
Fauna;Invertebrados Terrestres;Chelodesmidae;Odontopeltis giganteus;Piolho-de-cobra;Vulnerável (VU);VU;Mata Atlântica;Agropecuária;Não;Não;Não;0;Sim;ES
Fauna;Aves;Odontophoridae;Odontophorus capueira plumbeicollis;Uru;Criticamente em Perigo (CR);CR;"Caatinga; Mata Atlântica";"Agropecuária; Especies Exoticas; Extracao Direta:Caça/Pesca; Mudanca Na Dinamica Das Especies Nativas: Patogenias/Parasitas";Sim;Não;Não;3;Sim;"CE; PB"
Fauna;Invertebrados Terrestres;Hesperiidae;Olafia roscius iphimedia;Borboleta;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades";Sim;Sim;Não;2;Sim;"MG; RJ; SP"
Fauna;Mamíferos;Cricetidae;Oligoryzomys rupestris;Rato-da-árvore;Em Perigo (EN);EN;"Caatinga; Cerrado";Queimadas;Sim;Não;Não;3;Sim;"BA; GO; MG"
Fauna;Invertebrados Terrestres;Theraphosidae;Oligoxystre diamantinensis;Aranha-caranguejeira;Em Perigo (EN);EN;Cerrado;"Agropecuária; Extracao Direta:Caça/Pesca; Queimadas";Sim;Não;Não;1;Sim;MG
Fauna;Invertebrados Aquáticos;Olividae;Olivancillaria contortuplicata;Desconhecido;Criticamente em Perigo (CR);CR;Marinho;"Assentamento Humano:cidades; Poluição";Não;Não;Não;1;Não;RS
Fauna;Invertebrados Aquáticos;Olividae;Olivancillaria teaguei;Desconhecido;Criticamente em Perigo (CR);CR;Marinho;"Assentamento Humano:cidades; Poluição";Não;Não;Não;1;Não;RS
Fauna;Peixes Marinhos;Ophidiidae;Ophidion holbrookii;Falso-congro-rosa;Criticamente em Perigo (CR);CR;Marinho;Extracao Direta:Caça/Pesca;Sim;Não;Não;2;Não;"PR; RJ; SC; SP"
Fauna;Peixes Continentais;Rivulidae;Ophthalmolebias bokermanni;Peixe-anual;Criticamente em Perigo (CR);CR;Mata Atlântica;Agropecuária;Não;Sim;Não;1;Sim;BA
Fauna;Peixes Continentais;Rivulidae;Ophthalmolebias constanciae;Peixe-anual;Criticamente em Perigo (CR);CR;Mata Atlântica;"Assentamento Humano:cidades; Extracao Direta:Caça/Pesca";Sim;Sim;Não;2;Sim;RJ
Fauna;Peixes Continentais;Rivulidae;Ophthalmolebias ilheusensis;Desconhecido;Criticamente em Perigo (CR);CR;Mata Atlântica;"Assentamento Humano:cidades; Outras Atividades Econômicas:Turismo";Sim;Não;Não;2;Sim;BA
Fauna;Peixes Continentais;Rivulidae;Ophthalmolebias perpendicularis;Peixe-anual;Criticamente em Perigo (CR);CR;Mata Atlântica;Agropecuária;Não;Sim;Não;1;Sim;BA
Fauna;Peixes Continentais;Rivulidae;Ophthalmolebias rosaceus;Peixe-anual;Vulnerável (VU);VU;Mata Atlântica;Agropecuária;Não;Sim;Não;1;Sim;BA
Fauna;Peixes Continentais;Rivulidae;Ophthalmolebias suzarti;Peixe-anual;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades";Não;Não;Não;1;Sim;BA
Fauna;Invertebrados Aquáticos;Oreasteridae;Oreaster reticulatus;Estrela-do-mar;Vulnerável (VU);VU;Marinho;"Extracao Direta:Caça/Pesca; Mudanca Na Dinamica Das Especies Nativas: Patogenias/Parasitas; Poluição";Sim;Sim;Não;2;Não;"AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; SC; SE; SP"
Fauna;Invertebrados Terrestres;Nymphalidae;Orobrassolis ornamentalis;Borboleta;Criticamente em Perigo (CR);CR;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Turismo; Queimadas";Sim;Sim;Não;2;Sim;"MG; SP"
Fauna;Aves;Cracidae;Ortalis guttata remota;Aracuã;Criticamente em Perigo (CR);CR;"Cerrado; Mata Atlântica";Agropecuária;Não;Não;Não;0;Sim;"MG; MS; SP"
Fauna;Peixes Continentais;Characidae;Ossubtus xinguense;Pacu-capivara;Vulnerável (VU);VU;Amazônia;Outras Atividades Econômicas:Energia;Sim;Sim;Sim;2;Sim;"MT; PA"
Fauna;Peixes Continentais;Loricariidae;Otothyris juquiae;Cascudinho-anão;Criticamente em Perigo (CR);CR;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades; Poluição; Poluição Assoreamento";Sim;Sim;Não;2;Sim;SP
Fauna;Mamíferos;Cervidae;Ozotoceros bezoarticus bezoarticus;Veado-campeiro;Vulnerável (VU);VU;"Amazônia; Cerrado";"Agropecuária; Extracao Direta:Caça/Pesca; Mudanca Na Dinamica Das Especies Nativas: Patogenias/Parasitas";Sim;Sim;Não;3;Não;"MS; MT; GO; DF; MG; BA; PI; TO; MA; PA; RO"
Fauna;Mamíferos;Cervidae;Ozotoceros bezoarticus leucogaster;Veado-campeiro;Vulnerável (VU);VU;"Cerrado; Pantanal";"Agropecuária; Extracao Direta:Caça/Pesca; Mudanca Na Dinamica Das Especies Nativas: Patogenias/Parasitas";Sim;Sim;Não;4;Não;"MT; MS; SP; PR; SC; RS"
Fauna;Invertebrados Terrestres;Gonyleptidae;Pachylospeleus strinatii;Opilião;Em Perigo (EN);EN;"Cerrado; Mata Atlântica";"Outras Atividades Econômicas:Turismo; Poluição; Poluição Assoreamento";Sim;Não;Não;2;Sim;SP
Fauna;Invertebrados Terrestres;Nymphalidae;Pampasatyrus glaucope boenninghauseni;Borboleta;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Turismo; Queimadas";Sim;Sim;Não;2;Sim;"MG; RJ; SP"
Fauna;Invertebrados Terrestres;Nymphalidae;Pampasatyrus glaucope glaucope;Borboleta;Em Perigo (EN);EN;Mata Atlântica;Agropecuária;Sim;Não;Não;1;Sim;PR
Fauna;Invertebrados Terrestres;Nymphalidae;Pampasatyrus gyrtone;Borboleta;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Turismo; Queimadas";Sim;Sim;Não;3;Sim;"MG; RJ; SC; SP; RS"
Fauna;Peixes Continentais;Poeciliidae;Pamphorichthys pertapeh;Barrigudinho;Criticamente em Perigo (CR);CR;Cerrado;"Agropecuária; Poluição";Sim;Sim;Não;2;Sim;GO
Fauna;Invertebrados Terrestres;Riodinidae;Panara ovifera;Borboleta;Vulnerável (VU);VU;Mata Atlântica;Assentamento Humano:cidades;Sim;Sim;Não;3;Sim;RJ
Fauna;Mamíferos;Felidae;Panthera onca;Onça-pintada;Vulnerável (VU);VU;"Amazônia; Cerrado; Mata Atlântica; Pantanal";"Agropecuária; Extracao Direta:Caça/Pesca; Mineracao; Outras Atividades Econômicas:Energia; Outras Atividades Econômicas:Transporte";Sim;Sim;Não;5;Não;"AC; AM; AP; BA; DF; ES; GO; MA; MG; MS; MT; PA; PI; PR; RJ; RO; RR; RS; SC; SP; TO"
